Domain Code,Domain,Item Code,Item,Description
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2557,Sunflower seed,Default composition: 267 Sunflower seed
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2592,Sunflowerseed Cake,"Default composition: 269 Cake, sunflower"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2573,Sunflowerseed Oil,"Default composition: 268 Oil, sunflower"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2533,Sweet potatoes,Default composition: 122 Sweet potatoes
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2543,"Sweeteners, Other","Default composition: 154 Fructose chemically pure, 155 Maltose chemically pure, 160 Maple sugar and syrups, 161 Sugar crops, nes, 165 Molasses, 166 Fructose and syrup, other, 167 Sugar, nes, 172 Glucose and dextrose, 173 Lactose, 175 Isoglucose, 633 Beverages, non alcoholic"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2635,Tea (including mate),"Default composition: 667 Tea, 671 Maté, 672 Tea, mate extracts"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2671,Tobacco,"Default composition: 826 Tobacco, unmanufactured, 828 Cigarettes, 829 Cigars, cheroots, 831 Tobacco products nes"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2927,Tobacco & Rubber,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2601,Tomatoes and products,"Default composition: 388 Tomatoes, 389 Juice, tomato, concentrated, 390 Juice, tomato, 391 Tomatoes, paste, 392 Tomatoes, peeled"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2912,Treenuts,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2914,Vegetable Oils,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2918,Vegetables,
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2605,"Vegetables, Other","Default composition: 358 Cabbages and other brassicas, 366 Artichokes, 367 Asparagus, 372 Lettuce and chicory, 373 Spinach, 378 Cassava leaves, 393 Cauliflowers and broccoli, 394 Pumpkins, squash and gourds, 397 Cucumbers and gherkins, 399 Eggplants (aubergines), 401 Chillies and peppers, green, 402 Onions, shallots, green, 406 Garlic, 407 Leeks, other alliaceous vegetables, 414 Beans, green, 417 Peas, green, 420 Vegetables, leguminous nes, 423 String beans, 426 Carrots and turnips, 430 Okra, 446 Maize, green, 447 Sweet corn frozen, 448 Sweet corn prep or preserved, 449 Mushrooms and truffles, 450 Mushrooms, dried, 451 Mushrooms, canned, 459 Chicory roots, 461 Carobs, 463 Vegetables, fresh nes, 464 Vegetables, dried nes, 465 Vegetables, canned nes, 466 Juice, vegetables nes, 469 Vegetables, dehydrated, 471 Vegetables in vinegar, 472 Vegetables, preserved nes, 473 Vegetables, frozen, 474 Vegetables, temporarily preserved, 475 Vegetables, preserved, frozen, 476 Vegetables, homogenized preparations, 567 Watermelons, 568 Melons, other (inc.cantaloupes), 658 Coffee, substitutes containing coffee"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2511,Wheat and products,"Default composition: 15 Wheat, 16 Flour, wheat, 17 Bran, wheat, 18 Macaroni, 19 Germ, wheat, 20 Bread, 21 Bulgur, 22 Pastry, 23 Starch, wheat, 24 Gluten, wheat, 41 Cereals, breakfast, 110 Wafers, 114 Mixes and doughs, 115 Food preparations, flour, malt extract"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2655,Wine,"Default composition: 564 Wine, 565 Vermouths & similar"
BC,Food Balance: Commodity Balances - Crops Primary Equivalent,2535,Yams,Default composition: 137 Yams
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2946,Animal fats,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2769,"Aquatic Animals, Others","Default composition: 1587 Aqutc Anim F, 1588 Aq A Cured, 1589 Aquatic Animals Meals, 1590 Aq A Prep Ns"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2775,Aquatic Plants,"Default composition: 1594 Aquatic plants, fresh, 1595 Aquatic plants, dried, 1596 Aquatic plants, other preparations"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2961,"Aquatic Products, Other",
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2731,Bovine Meat,"Default composition: 867 Meat, cattle, 870 Meat, cattle, boneless (beef & veal), 872 Meat, beef, dried, salted, smoked, 873 Meat, extracts, 874 Meat, beef and veal sausages, 875 Meat, beef, preparations, 876 Meat, beef, canned, 877 Meat, homogenized preparations, 947 Meat, buffalo"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2740,"Butter, Ghee","Default composition: 886 Butter, cow milk, 887 Ghee, butteroil of cow milk, 952 Butter, buffalo milk, 953 Ghee, of buffalo milk, 983 Butter and ghee, sheep milk, 1022 Butter of goat mlk"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2766,Cephalopods,"Default composition: 1570 Cephlp Fresh, 1571 Cphlp Frozen, 1572 Cphlp Cured, 1573 Cphlp Canned, 1574 Cphlp Pr nes, 1575 Cphlp Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2741,Cheese,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2743,Cream,Default composition: 885 Cream fresh
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2765,Crustaceans,"Default composition: 1553 Crstaceans F, 1554 Crstc Frozen, 1555 Crstc Cured, 1556 Crstc Canned, 1557 Crstc Pr nes, 1558 Crstc Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2762,Demersal Fish,"Default composition: 1514 Dmrsl Fresh, 1515 Dmrsl Fz Whl, 1516 Dmrsl Fillet, 1517 Dmrsl Fz Flt, 1518 Dmrsl Cured, 1519 Dmrsl Canned, 1520 Dmrsl Pr nes, 1521 Dmrsl Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2744,Eggs,"Default composition: 916 Egg albumine, 1062 Eggs, hen, in shell, 1063 Eggs, liquid, 1064 Eggs, dried, 1091 Eggs, other bird, in shell"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2949,Eggs,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2737,"Fats, Animals, Raw","Default composition: 869 Fat, cattle, 871 Fat, cattle butcher, 949 Fat, buffaloes, 979 Fat, sheep, 994 Grease incl. lanolin wool, 1019 Fat, goats, 1037 Fat, pigs, 1040 Fat, pig butcher, 1043 Lard, 1065 Fat, poultry, 1066 Fat, poultry, rendered, 1129 Fat, camels, 1160 Fat, other camelids, 1168 Oils, fats of animal nes, 1221 Lard stearine oil, 1222 Degras, 1225 Tallow, 1243 Fat, nes, prepared"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2855,Fish Meal,"Default composition: 1511 Freshwater Meal Fr Offal, 1524 Demersal Meal from Offal, 1537 Pelagic Meal from Offal, 1550 Marn Meal Of, 1559 Crustaceans Meal F Offal, 1567 Molluscs Meal from Offal, 1576 Cephalopods Meal F Offal, 1581 Aquatic Mammals Meals, 1584 Aqua Mammal Meal F Offal, 1591 Aq A Meal Of"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2781,"Fish, Body Oil","Default composition: 1509 Frwt Bdy Oil, 1522 Dmrs Bdy Oil, 1535 Pelg Bdy Oil, 1548 Marn Bdy Oil, 1582 Aq M Oils"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2782,"Fish, Liver Oil","Default composition: 1510 Frwt Lvr Oil, 1523 Demersal Liver Oils, 1536 Pelg Lvr Oil, 1549 Marine nes Liver Oils"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2960,"Fish, Seafood",
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2761,Freshwater Fish,"Default composition: 1501 Frwtr Diad F, 1502 Frwtr Fz Whl, 1503 Frwtr Fillet, 1504 Frwtr Fz Flt, 1505 Frwtr Cured, 1506 Frwtr Canned, 1507 Frwtr Pr nes, 1508 Frwtr Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2748,Hides and skins,"Default composition: 919 Hides, cattle, fresh, 920 Hides, cattle, wet salted, 921 Hides, cattle, dry salted, 922 Hides, cattle, nes, 928 Skins, calve, wet salted, 929 Skins, calve, dry salted, 930 Skins, calve, nes, 957 Hides, buffalo, fresh, 958 Hides, buffalo, wet salted, 959 Hides, buffalo, dry salted, 995 Skins, sheep, fresh, 996 Skins, sheep, wet salted, 997 Skins, sheep, dry salted, 998 Skins, sheep, nes, 999 Skins, sheep, with wool, 1002 Skins, karakul, 1025 Skins, goat, fresh, 1026 Skins, goat, wet salted, 1027 Skins, goat, dry salted, 1028 Skins, goat, nes, 1044 Skins, pig, fresh, 1045 Skins, pig, wet salted, 1046 Skins, pig, dry salted, 1047 Skins, pig, nes, 1102 Hides, horse, fresh, 1103 Hides, horse, wet salted, 1104 Hides, horse, dry salted, 1105 Hides, horse, nes, 1109 Hides, ass, fresh, 1112 Hides, mule, fresh, 1133 Hides, camel, fresh, 1134 Hides, camel, wet salted, 1135 Hides, camel, dry salted, 1136 Hides, camel, nes, 1146 Skins, rabbit, 1195 Skins, furs, 1213 Hides and skins nes, fresh, 1214 Hides, wet salted, nes, 1215 Hides, nes, dry salted"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2745,Honey,"Default composition: 1182 Honey, natural"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2764,"Marine Fish, Other","Default composition: 1540 Marine nes F, 1541 Marin Fz Whl, 1542 Marin Fillet, 1543 Marin Fz Flt, 1544 Marin Cured, 1545 Marin Canned, 1546 Marin Pr nes, 1547 Marin Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2943,Meat,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2749,Meat Meal,"Default composition: 1173 Meal, meat, 1175 Meal, blood"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2768,"Meat, Aquatic Mammals","Default composition: 1580 Aq M Meat, 1583 Aq M Prep Ns"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2735,"Meat, Other","Default composition: 1089 Meat, bird nes, 1097 Meat, horse, 1108 Meat, ass, 1111 Meat, mule, 1127 Meat, camel, 1141 Meat, rabbit, 1151 Meat, other rodents, 1158 Meat, other camelids, 1163 Meat, game, 1164 Meat, dried nes, 1166 Meat, nes, 1172 Meat, nes, preparations, 1176 Snails, not sea"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2848,Milk - Excluding Butter,"Default composition: 882 Milk, whole fresh cow, 888 Milk, skimmed cow, 889 Milk, whole condensed, 890 Whey, condensed, 891 Yoghurt, 892 Yoghurt, concentrated or not, 893 Buttermilk, curdled, acidified milk, 894 Milk, whole evaporated, 895 Milk, skimmed evaporated, 896 Milk, skimmed condensed, 897 Milk, whole dried, 898 Milk, skimmed dried, 899 Milk, dry buttermilk, 900 Whey, dry, 901 Cheese, whole cow milk, 903 Whey, fresh, 904 Cheese, skimmed cow milk, 905 Whey, cheese, 907 Cheese, processed, 908 Milk, reconstituted, 909 Milk, products of natural constituents nes, 910 Ice cream and edible ice, 917 Casein, 951 Milk, whole fresh buffalo, 954 Milk, skimmed buffalo, 955 Cheese, buffalo milk, 982 Milk, whole fresh sheep, 984 Cheese, sheep milk, 985 Milk, skimmed sheep, 1020 Milk, whole fresh goat, 1021 Cheese of goat mlk, 1023 Milk, skimmed goat, 1130 Milk, whole fresh camel"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2948,Milk - Excluding Butter,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2739,"Milk, Skimmed",
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2738,"Milk, Whole",
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2767,"Molluscs, Other","Default composition: 1562 Mlluscs Frsh, 1563 Molsc Frozen, 1564 Molsc Cured, 1565 Molsc Canned, 1566 Molsc Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2732,Mutton & Goat Meat,"Default composition: 977 Meat, sheep, 1017 Meat, goat"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2945,Offals,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2736,"Offals, Edible","Default composition: 868 Offals, edible, cattle, 878 Liver prep., 948 Offals, edible, buffaloes, 978 Offals, sheep,edible, 1018 Offals, edible, goats, 1036 Offals, pigs, edible, 1059 Offals, liver chicken, 1074 Offals, liver geese, 1075 Offals, liver duck, 1081 Offals, liver turkeys, 1098 Offals, horses, 1128 Offals, edible, camels, 1159 Offals, other camelids, 1167 Offals, nes"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2763,Pelagic Fish,"Default composition: 1527 Pelagic Frsh, 1528 Pelgc Fz Whl, 1529 Pelgc Fillet, 1530 Pelgc Fz Flt, 1531 Pelgc Cured, 1532 Pelgc Canned, 1533 Pelgc Pr nes, 1534 Pelgc Meals"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2733,Pigmeat,"Default composition: 1035 Meat, pig, 1038 Meat, pork, 1039 Bacon and ham, 1041 Meat, pig sausages, 1042 Meat, pig, preparations"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2734,Poultry Meat,"Default composition: 1058 Meat, chicken, 1060 Fat, liver prepared (foie gras), 1061 Meat, chicken, canned, 1069 Meat, duck, 1073 Meat, goose and guinea fowl, 1080 Meat, turkey"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2747,Silk,"Default composition: 1185 Silk-worm cocoons, reelable, 1186 Silk raw, 1187 Cocoons, unreelable & waste"
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2742,Whey,
BL,Food Balance: Commodity Balances - Livestock and Fish Primary Equivalent,2746,Wool (Clean Eq.),"Default composition: 987 Wool, greasy, 988 Wool, degreased"
FBSH,Food Balance: Food Balances (old methodology and population),2659,"Alcohol, Non-Food",Default composition: 632 Alcohol non food
FBSH,Food Balance: Food Balances (old methodology and population),2924,Alcoholic Beverages,
FBSH,Food Balance: Food Balances (old methodology and population),2946,Animal fats,
FBSH,Food Balance: Food Balances (old methodology and population),2941,Animal Products,
FBSH,Food Balance: Food Balances (old methodology and population),2617,Apples and products,"Default composition: 515 Apples, 518 Juice, apple, single strength, 519 Juice, apple, concentrated"
FBSH,Food Balance: Food Balances (old methodology and population),2769,"Aquatic Animals, Others","Default composition: 1587 Aqutc Anim F, 1588 Aq A Cured, 1589 Aquatic Animals Meals, 1590 Aq A Prep Ns"
FBSH,Food Balance: Food Balances (old methodology and population),2775,Aquatic Plants,"Default composition: 1594 Aquatic plants, fresh, 1595 Aquatic plants, dried, 1596 Aquatic plants, other preparations"
FBSH,Food Balance: Food Balances (old methodology and population),2961,"Aquatic Products, Other",
FBSH,Food Balance: Food Balances (old methodology and population),2615,Bananas,Default composition: 486 Bananas
FBSH,Food Balance: Food Balances (old methodology and population),2513,Barley and products,"Default composition: 44 Barley, 45 Barley, pot, 46 Barley, pearled, 47 Bran, barley, 48 Flour, barley and grits, 49 Malt, 50 Malt extract"
FBSH,Food Balance: Food Balances (old methodology and population),2546,Beans,"Default composition: 176 Beans, dry"
FBSH,Food Balance: Food Balances (old methodology and population),2656,Beer,Default composition: 51 Beer of barley
FBSH,Food Balance: Food Balances (old methodology and population),2658,"Beverages, Alcoholic","Default composition: 634 Beverages, distilled alcoholic"
FBSH,Food Balance: Food Balances (old methodology and population),2657,"Beverages, Fermented","Default composition: 26 Beverages, fermented wheat, 39 Beverages, fermented rice, 66 Beer of maize, 82 Beer of millet, 86 Beer of sorghum, 517 Cider etc"
FBSH,Food Balance: Food Balances (old methodology and population),2731,Bovine Meat,"Default composition: 867 Meat, cattle, 870 Meat, cattle, boneless (beef & veal), 872 Meat, beef, dried, salted, smoked, 873 Meat, extracts, 874 Meat, beef and veal sausages, 875 Meat, beef, preparations, 876 Meat, beef, canned, 877 Meat, homogenized preparations, 947 Meat, buffalo"
FBSH,Food Balance: Food Balances (old methodology and population),2740,"Butter, Ghee","Default composition: 886 Butter, cow milk, 887 Ghee, butteroil of cow milk, 952 Butter, buffalo milk, 953 Ghee, of buffalo milk, 983 Butter and ghee, sheep milk, 1022 Butter of goat mlk"
FBSH,Food Balance: Food Balances (old methodology and population),2532,Cassava and products,"Default composition: 125 Cassava, 126 Flour, cassava, 127 Tapioca, cassava, 128 Cassava dried, 129 Starch, cassava"
FBSH,Food Balance: Food Balances (old methodology and population),2766,Cephalopods,"Default composition: 1570 Cephlp Fresh, 1571 Cphlp Frozen, 1572 Cphlp Cured, 1573 Cphlp Canned, 1574 Cphlp Pr nes, 1575 Cphlp Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2905,Cereals - Excluding Beer,
FBSH,Food Balance: Food Balances (old methodology and population),2520,"Cereals, Other","Default composition: 68 Popcorn, 89 Buckwheat, 90 Flour, buckwheat, 91 Bran, buckwheat, 92 Quinoa, 94 Fonio, 95 Flour, fonio, 96 Bran, fonio, 97 Triticale, 98 Flour, triticale, 99 Bran, triticale, 101 Canary seed, 103 Grain, mixed, 104 Flour, mixed grain, 105 Bran, mixed grains, 108 Cereals, nes, 111 Flour, cereals, 112 Bran, cereals nes, 113 Cereal preparations, nes"
FBSH,Food Balance: Food Balances (old methodology and population),2614,"Citrus, Other","Default composition: 512 Fruit, citrus nes, 513 Juice, citrus, single strength, 514 Juice, citrus, concentrated"
FBSH,Food Balance: Food Balances (old methodology and population),2642,Cloves,Default composition: 698 Cloves
FBSH,Food Balance: Food Balances (old methodology and population),2633,Cocoa Beans and products,"Default composition: 661 Cocoa, beans, 662 Cocoa, paste, 665 Cocoa, powder & cake, 666 Chocolate products nes"
FBSH,Food Balance: Food Balances (old methodology and population),2578,Coconut Oil,"Default composition: 252 Oil, coconut (copra)"
FBSH,Food Balance: Food Balances (old methodology and population),2560,Coconuts - Incl Copra,"Default composition: 249 Coconuts, 250 Coconuts, desiccated, 251 Copra"
FBSH,Food Balance: Food Balances (old methodology and population),2630,Coffee and products,"Default composition: 656 Coffee, green, 657 Coffee, roasted, 659 Coffee, extracts"
FBSH,Food Balance: Food Balances (old methodology and population),2559,Cottonseed,Default composition: 329 Cottonseed
FBSH,Food Balance: Food Balances (old methodology and population),2575,Cottonseed Oil,"Default composition: 331 Oil, cottonseed"
FBSH,Food Balance: Food Balances (old methodology and population),2743,Cream,Default composition: 885 Cream fresh
FBSH,Food Balance: Food Balances (old methodology and population),2765,Crustaceans,"Default composition: 1553 Crstaceans F, 1554 Crstc Frozen, 1555 Crstc Cured, 1556 Crstc Canned, 1557 Crstc Pr nes, 1558 Crstc Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2619,Dates,Default composition: 577 Dates
FBSH,Food Balance: Food Balances (old methodology and population),2762,Demersal Fish,"Default composition: 1514 Dmrsl Fresh, 1515 Dmrsl Fz Whl, 1516 Dmrsl Fillet, 1517 Dmrsl Fz Flt, 1518 Dmrsl Cured, 1519 Dmrsl Canned, 1520 Dmrsl Pr nes, 1521 Dmrsl Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2744,Eggs,"Default composition: 916 Egg albumine, 1062 Eggs, hen, in shell, 1063 Eggs, liquid, 1064 Eggs, dried, 1091 Eggs, other bird, in shell"
FBSH,Food Balance: Food Balances (old methodology and population),2949,Eggs,
FBSH,Food Balance: Food Balances (old methodology and population),2737,"Fats, Animals, Raw","Default composition: 869 Fat, cattle, 871 Fat, cattle butcher, 949 Fat, buffaloes, 979 Fat, sheep, 994 Grease incl. lanolin wool, 1019 Fat, goats, 1037 Fat, pigs, 1040 Fat, pig butcher, 1043 Lard, 1065 Fat, poultry, 1066 Fat, poultry, rendered, 1129 Fat, camels, 1160 Fat, other camelids, 1168 Oils, fats of animal nes, 1221 Lard stearine oil, 1222 Degras, 1225 Tallow, 1243 Fat, nes, prepared"
FBSH,Food Balance: Food Balances (old methodology and population),2781,"Fish, Body Oil","Default composition: 1509 Frwt Bdy Oil, 1522 Dmrs Bdy Oil, 1535 Pelg Bdy Oil, 1548 Marn Bdy Oil, 1582 Aq M Oils"
FBSH,Food Balance: Food Balances (old methodology and population),2782,"Fish, Liver Oil","Default composition: 1510 Frwt Lvr Oil, 1523 Demersal Liver Oils, 1536 Pelg Lvr Oil, 1549 Marine nes Liver Oils"
FBSH,Food Balance: Food Balances (old methodology and population),2960,"Fish, Seafood",
FBSH,Food Balance: Food Balances (old methodology and population),2761,Freshwater Fish,"Default composition: 1501 Frwtr Diad F, 1502 Frwtr Fz Whl, 1503 Frwtr Fillet, 1504 Frwtr Fz Flt, 1505 Frwtr Cured, 1506 Frwtr Canned, 1507 Frwtr Pr nes, 1508 Frwtr Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2919,Fruits - Excluding Wine,
FBSH,Food Balance: Food Balances (old methodology and population),2625,"Fruits, Other","Default composition: 521 Pears, 523 Quinces, 526 Apricots, 527 Apricots, dry, 530 Cherries, sour, 531 Cherries, 534 Peaches and nectarines, 536 Plums and sloes, 537 Plums dried (prunes), 538 Juice, plum, single strength, 539 Juice, plum, concentrated, 541 Fruit, stone nes, 542 Fruit, pome nes, 544 Strawberries, 547 Raspberries, 549 Gooseberries, 550 Currants, 552 Blueberries, 554 Cranberries, 558 Berries nes, 567 Watermelons, 568 Melons, other (inc.cantaloupes), 569 Figs, 570 Figs dried, 571 Mangoes, mangosteens, guavas, 572 Avocados, 583 Juice, mango, 587 Persimmons, 591 Cashewapple, 592 Kiwi fruit, 600 Papayas, 603 Fruit, tropical fresh nes, 604 Fruit, tropical dried nes, 619 Fruit, fresh nes, 620 Fruit, dried nes, 622 Juice, fruit nes, 623 Fruit, prepared nes, 624 Flour, fruit, 625 Fruits, nuts, peel, sugar preserved, 626 Fruit, cooked, homogenized preparations"
FBSH,Food Balance: Food Balances (old methodology and population),2901,Grand Total,
FBSH,Food Balance: Food Balances (old methodology and population),2613,Grapefruit and products,"Default composition: 507 Grapefruit (inc. pomelos), 509 Juice, grapefruit, 510 Juice, grapefruit, concentrated"
FBSH,Food Balance: Food Balances (old methodology and population),2620,Grapes and products (excl wine),"Default composition: 560 Grapes, 561 Raisins, 562 Juice, grape, 563 Grapes, must"
FBSH,Food Balance: Food Balances (old methodology and population),2572,Groundnut Oil,"Default composition: 244 Oil, groundnut"
FBSH,Food Balance: Food Balances (old methodology and population),2556,Groundnuts (Shelled Eq),"Default composition: 242 Groundnuts, with shell, 243 Groundnuts, shelled, 246 Groundnuts, prepared, 247 Peanut butter"
FBSH,Food Balance: Food Balances (old methodology and population),2745,Honey,"Default composition: 1182 Honey, natural"
FBSH,Food Balance: Food Balances (old methodology and population),2680,Infant food,Default composition: 109 Infant food
FBSH,Food Balance: Food Balances (old methodology and population),2612,"Lemons, Limes and products","Default composition: 497 Lemons and limes, 498 Juice, lemon, single strength, 499 Juice, lemon, concentrated"
FBSH,Food Balance: Food Balances (old methodology and population),2514,Maize and products,"Default composition: 56 Maize, 57 Germ, maize, 58 Flour, maize, 59 Bran, maize, 63 Gluten, maize, 64 Starch, maize, 846 Feed and meal, gluten"
FBSH,Food Balance: Food Balances (old methodology and population),2582,Maize Germ Oil,"Default composition: 60 Oil, maize"
FBSH,Food Balance: Food Balances (old methodology and population),2764,"Marine Fish, Other","Default composition: 1540 Marine nes F, 1541 Marin Fz Whl, 1542 Marin Fillet, 1543 Marin Fz Flt, 1544 Marin Cured, 1545 Marin Canned, 1546 Marin Pr nes, 1547 Marin Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2943,Meat,
FBSH,Food Balance: Food Balances (old methodology and population),2768,"Meat, Aquatic Mammals","Default composition: 1580 Aq M Meat, 1583 Aq M Prep Ns"
FBSH,Food Balance: Food Balances (old methodology and population),2735,"Meat, Other","Default composition: 1089 Meat, bird nes, 1097 Meat, horse, 1108 Meat, ass, 1111 Meat, mule, 1127 Meat, camel, 1141 Meat, rabbit, 1151 Meat, other rodents, 1158 Meat, other camelids, 1163 Meat, game, 1164 Meat, dried nes, 1166 Meat, nes, 1172 Meat, nes, preparations, 1176 Snails, not sea"
FBSH,Food Balance: Food Balances (old methodology and population),2948,Milk - Excluding Butter,
FBSH,Food Balance: Food Balances (old methodology and population),2848,Milk - Excluding Butter,"Default composition: 882 Milk, whole fresh cow, 888 Milk, skimmed cow, 889 Milk, whole condensed, 890 Whey, condensed, 891 Yoghurt, 892 Yoghurt, concentrated or not, 893 Buttermilk, curdled, acidified milk, 894 Milk, whole evaporated, 895 Milk, skimmed evaporated, 896 Milk, skimmed condensed, 897 Milk, whole dried, 898 Milk, skimmed dried, 899 Milk, dry buttermilk, 900 Whey, dry, 901 Cheese, whole cow milk, 903 Whey, fresh, 904 Cheese, skimmed cow milk, 905 Whey, cheese, 907 Cheese, processed, 908 Milk, reconstituted, 909 Milk, products of natural constituents nes, 910 Ice cream and edible ice, 917 Casein, 951 Milk, whole fresh buffalo, 954 Milk, skimmed buffalo, 955 Cheese, buffalo milk, 982 Milk, whole fresh sheep, 984 Cheese, sheep milk, 985 Milk, skimmed sheep, 1020 Milk, whole fresh goat, 1021 Cheese of goat mlk, 1023 Milk, skimmed goat, 1130 Milk, whole fresh camel"
FBSH,Food Balance: Food Balances (old methodology and population),2517,Millet and products,"Default composition: 79 Millet, 80 Flour, millet, 81 Bran, millet"
FBSH,Food Balance: Food Balances (old methodology and population),2899,Miscellaneous,
FBSH,Food Balance: Food Balances (old methodology and population),2928,Miscellaneous,
FBSH,Food Balance: Food Balances (old methodology and population),2767,"Molluscs, Other","Default composition: 1562 Mlluscs Frsh, 1563 Molsc Frozen, 1564 Molsc Cured, 1565 Molsc Canned, 1566 Molsc Meals"
FBSH,Food Balance: Food Balances (old methodology and population),2732,Mutton & Goat Meat,"Default composition: 977 Meat, sheep, 1017 Meat, goat"
FBSH,Food Balance: Food Balances (old methodology and population),2551,Nuts and products,"Default composition: 216 Brazil nuts, with shell, 217 Cashew nuts, with shell, 220 Chestnut, 221 Almonds, with shell, 222 Walnuts, with shell, 223 Pistachios, 224 Kola nuts, 225 Hazelnuts, with shell, 226 Areca nuts, 229 Brazil nuts, shelled, 230 Cashew nuts, shelled, 231 Almonds shelled, 232 Walnuts, shelled, 233 Hazelnuts, shelled, 234 Nuts, nes, 235 Nuts, prepared (exc. groundnuts)"
FBSH,Food Balance: Food Balances (old methodology and population),2516,Oats,"Default composition: 75 Oats, 76 Oats rolled, 77 Bran, oats"
FBSH,Food Balance: Food Balances (old methodology and population),2945,Offals,
FBSH,Food Balance: Food Balances (old methodology and population),2736,"Offals, Edible","Default composition: 868 Offals, edible, cattle, 878 Liver prep., 948 Offals, edible, buffaloes, 978 Offals, sheep,edible, 1018 Offals, edible, goats, 1036 Offals, pigs, edible, 1059 Offals, liver chicken, 1074 Offals, liver geese, 1075 Offals, liver duck, 1081 Offals, liver turkeys, 1098 Offals, horses, 1128 Offals, edible, camels, 1159 Offals, other camelids, 1167 Offals, nes"
FBSH,Food Balance: Food Balances (old methodology and population),2913,Oilcrops,
